paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
2157,lead,C0023175,Hazardous or Poisonous Substance,DISRUPTS,δ-aminolevulinic acid dehydratase,C0002564,"Amino Acid, Peptide, or Protein",False,True
2157,lead,C0023175,Hazardous or Poisonous Substance,DISRUPTS,ferrochelatase,C0015880,"Amino Acid, Peptide, or Protein",False,True
2162,nucleotides,C0028630,"Nucleic Acid, Nucleoside, or Nucleotide",CONSISTS_OF,nitrogenous base,C1704464,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2162,nucleotides,C0028630,"Nucleic Acid, Nucleoside, or Nucleotide",CONSISTS_OF,pentose monosaccharide,C0026492,Organic Chemical,False,True
2162,nucleotides,C0028630,"Nucleic Acid, Nucleoside, or Nucleotide",CONSISTS_OF,phosphate groups,C0031603,Inorganic Chemical,False,True
2164,dna,C0012854,"Nucleic Acid, Nucleoside, or Nucleotide",CONTAINS,purine bases,C0034140,Organic Chemical,False,True
2164,rna,C0035668,"Nucleic Acid, Nucleoside, or Nucleotide",CONTAINS,purine bases,C0034140,Organic Chemical,False,True
2164,dna,C0012854,"Nucleic Acid, Nucleoside, or Nucleotide",CONTAINS,pyrimidine cytosine,C0034289,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2164,rna,C0035668,"Nucleic Acid, Nucleoside, or Nucleotide",CONTAINS,pyrimidine cytosine,C0034289,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2164,dna,C0012854,"Nucleic Acid, Nucleoside, or Nucleotide",CONTAINS,thymine,C0227099,"Body Part, Organ, or Organ Component",False,True
2164,rna,C0035668,"Nucleic Acid, Nucleoside, or Nucleotide",CONTAINS,uracil,C0041917,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2166,pentose sugar,C0030894,Organic Chemical,PRODUCES,nucleoside,C0028621,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2166,ribose,C0007004,Organic Chemical,PRODUCES,ribonucleoside,C0035546,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2166,2-deoxyribose,C0011530,Organic Chemical,PRODUCES,deoxyribonucleoside,C0011528,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2168,phosphate groups,C0031603,Inorganic Chemical,PRODUCES,c. nucleotides,C0028630,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2168,phosphate group,C0031603,Inorganic Chemical,CONNECTED_TO,pentose,C0030894,Organic Chemical,False,True
2168,phosphate group,C0031603,Inorganic Chemical,CONNECTED_TO,nucleotide,C0028630,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2170,atoms,C0567415,"Element, Ion, or Isotope",PART_OF,purine ring,C0034140,Organic Chemical,False,True
2175,atp,C0001480,"Nucleic Acid, Nucleoside, or Nucleotide",INGREDIENT_OF,purine nucleotide biosynthesis,C1157677,Molecular Function,False,True
2175,n10-formyl-thf,C1538020,Gene or Genome,INGREDIENT_OF,purine nucleotide biosynthesis,C1157677,Molecular Function,False,True
2185,adenosine kinase,C0001464,"Amino Acid, Peptide, or Protein",PRODUCES,amp,C0001465,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2186,hyperuricemia,C0740394,Disease or Syndrome,CAUSES,uric acid stones,C0403719,Disease or Syndrome,False,True
2197,datp,C0045186,"Nucleic Acid, Nucleoside, or Nucleotide",PREVENTS,reduction,C0301630,Natural Phenomenon or Process,False,True
2197,datp,C0045186,"Nucleic Acid, Nucleoside, or Nucleotide",DISRUPTS,catalytic activity,C0243102,Molecular Function,False,True
2197,datp,C0045186,"Nucleic Acid, Nucleoside, or Nucleotide",PREVENTS,dna synthesis,C0598312,Genetic Function,False,True
2200,hydroxyurea,C0020402,Organic Chemical,DISRUPTS,ribonucleotide reductase,C0035547,"Amino Acid, Peptide, or Protein",False,True
2200,hydroxyurea,C0020402,Organic Chemical,TREATS,cancers,C0006826,Neoplastic Process,False,True
2200,hydroxyurea,C0020402,Organic Chemical,TREATS,melanoma,C0025202,Neoplastic Process,False,True
2200,hydroxyurea,C0020402,Organic Chemical,TREATS,sickle cell anemia,C0002895,Disease or Syndrome,False,True
2202,purine degradation,C1157109,Molecular Function,PRODUCES,uric acid,C0041980,Organic Chemical,False,True
2207,amp,C0001465,"Nucleic Acid, Nucleoside, or Nucleotide",PRODUCES,imp,C0021533,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2207,adenosine deaminase,C0001457,"Amino Acid, Peptide, or Protein",PRODUCES,inosine,C0021528,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2209,purine nucleoside phosphorylase,C0034135,"Amino Acid, Peptide, or Protein",PRODUCES,hypoxanthine,C0034140,Organic Chemical,False,True
2209,purine nucleoside phosphorylase,C0034135,"Amino Acid, Peptide, or Protein",PRODUCES,guanine,C0018321,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2209,guanine,C0018321,"Nucleic Acid, Nucleoside, or Nucleotide",PRODUCES,xanthine,C0043314,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2211,gout,C0018099,Disease or Syndrome,IS_A,disorder,C0012634,Disease or Syndrome,False,True
2215,overproduction,C0001622,Disease or Syndrome,CAUSES,hyperuricemia,C0740394,Disease or Syndrome,False,True
2215,lesch-nyhan syndrome,C0023374,Disease or Syndrome,CAUSES,hyperuricemia,C0740394,Disease or Syndrome,False,True
2218,febuxostat,C0249529,Organic Chemical,INHIBITS,xo,C1421531,Gene or Genome,False,True
2223,uridine triphosphate,C0042010,"Nucleic Acid, Nucleoside, or Nucleotide",INHIBITS,cps ii,C0149958,Disease or Syndrome,False,True
2225,dihydroorotate dehydrogenase,C0058099,"Amino Acid, Peptide, or Protein",PRODUCES,orotate,C0178785,Organic Chemical,False,True
2227,enzyme orotate phosphoribosyltransferase,C0029298,"Amino Acid, Peptide, or Protein",PRODUCES,omp,C1417950,Gene or Genome,False,True
2227,orotidylate decarboxylase,C0029303,"Amino Acid, Peptide, or Protein",PRODUCES,ump,C0042002,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2229,ctp synthetase,C0056575,"Amino Acid, Peptide, or Protein",PRODUCES,ctp,C0010734,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2235,ribonucleotide reductase,C0035547,"Amino Acid, Peptide, or Protein",PRODUCES,dudp,C1157605,Molecular Function,False,True
2240,azaserine,C0004480,"Amino Acid, Peptide, or Protein",DISRUPTS,purine synthesis,C1157097,Molecular Function,False,True
2241,overproduction,C0001622,Disease or Syndrome,CAUSES,patient’s pain,C0030705,Patient or Disabled Group,False,True
2247,gout,C0018099,Disease or Syndrome,CAUSES,patient’s pain,C0030705,Patient or Disabled Group,False,True
2253,methotrexate,C0025677,Organic Chemical,DISRUPTS,folate metabolism,C1157079,Molecular Function,False,True
2253,methotrexate,C0025677,Organic Chemical,DISRUPTS,enzyme dihydrofolate reductase,C0039667,"Amino Acid, Peptide, or Protein",False,True
2253,mycophenolic acid,C0026933,Organic Chemical,DISRUPTS,inosine monophosphate dehydrogenase,C0021088,"Amino Acid, Peptide, or Protein",False,True
2253,5-fluorouracil,C0016360,"Nucleic Acid, Nucleoside, or Nucleotide",DISRUPTS,thymidylate synthase,C0040085,"Amino Acid, Peptide, or Protein",False,True
2253,allopurinol,C0002144,Organic Chemical,DISRUPTS,xanthine oxidase,C0043317,"Amino Acid, Peptide, or Protein",False,True
2262,blood ammonia,C0220994,Disease or Syndrome,INDICATES,ornithine transcarbamylase deficiency,C0268542,Disease or Syndrome,False,True
2272,cytosolic granules,C1383501,Cell Component,CONTAINS,insulin,C0021641,"Amino Acid, Peptide, or Protein",False,True
2272,preproinsulin,C0071928,"Amino Acid, Peptide, or Protein",PRODUCES,active hormone,C0050668,"Amino Acid, Peptide, or Protein",False,True
2272,proinsulin,C0033362,"Amino Acid, Peptide, or Protein",PRODUCES,active hormone,C0050668,"Amino Acid, Peptide, or Protein",False,True
2277,ingestion,C0232478,Biologic Function,CAUSES,blood glucose,C0005802,Organic Chemical,False,True
2277,blood glucose,C0005802,Organic Chemical,CAUSES,insulin secretion,C1256369,Cell Function,False,True
2277,β cells,C0007634,Cell,CONTAINS,glut-2 transporters,C0174599,"Amino Acid, Peptide, or Protein",False,True
2277,metabolism of glucose 6-phosphate,C0025519,Organism Function,PRODUCES,atp,C0001480,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2279,ingestion,C0232478,Biologic Function,CAUSES,plasma amino acid levels,C0032105,Body Substance,False,True
2279,plasma amino acid levels,C0032105,Body Substance,CAUSES,insulin secretion,C1256369,Cell Function,False,True
